X,M
1395,-7301
1396,-7207
1397,-7113
1398,-7019
1399,-6924
1400,-6830
1401,-6735
1402,-6640
1403,-6545
1404,-6450
1405,-6355
1406,-6260
1407,-6164
1408,-6069
1409,-5973
1410,-5877
1411,-5781
1412,-5686
1413,-5589
1414,-5493
1415,-5397
1416,-5301
1417,-5204
1418,-5108
1419,-5011
1420,-4914
1421,-4817
1422,-4721
1423,-4624
1424,-4526
1425,-4429
1426,-4332
1427,-4235
1428,-4137
1429,-4040
1430,-3942
1431,-3845
1432,-3747
1433,-3649
1434,-3551
1435,-3453
1436,-3355
1437,-3257
1438,-3159
1439,-3061
1440,-2963
1441,-2865
1442,-2766
1443,-2668
1444,-2570
1445,-2471
1446,-2373
1447,-2274
1448,-2176
1449,-2077
1450,-1978
1451,-1880
1452,-1781
1453,-1682
1454,-1583
1455,-1485
1456,-1386
1457,-1287
1458,-1188
1459,-1089
1460,-990
1461,-891
1462,-792
1463,-693
1464,-594
1465,-495
1466,-396
1467,-297
1468,-198
1469,-99
1470,0
1471,99
1472,198
1473,297
1474,396
1475,495
1476,594
1477,693
1478,792
1479,891
1480,990
1481,1089
1482,1188
1483,1287
1484,1386
1485,1485
1486,1583
1487,1682
1488,1781
1489,1880
1490,1978
1491,2077
1492,2176
1493,2274
1494,2373
1495,2471
1496,2570
1497,2668
1498,2766
1499,2865
1500,2963
1501,3061
1502,3159
1503,3257
1504,3355
1505,3453
1506,3551
1507,3649
1508,3747
1509,3845
1510,3942
1511,4040
1512,4137
1513,4235
1514,4332
1515,4429
1516,4526
1517,4624
1518,4721
1519,4817
1520,4914
1521,5011
1522,5108
1523,5204
1524,5301
1525,5397
1526,5493
1527,5589
1528,5686
1529,5781
1530,5877
1531,5973
1532,6069
1533,6164
1534,6260
1535,6355
1536,6450
1537,6545
1538,6640
1539,6735
1540,6830
1541,6924
1542,7019
1543,7113
1544,7207
1545,7301
1546,7395
1547,7489
1548,7583
1549,7676
1550,7769
1551,7863
1552,7956
1553,8049
1554,8142
1555,8234
1556,8327
1557,8419
1558,8511
1559,8603
1560,8695
1561,8787
1562,8878
1563,8970
1564,9061
1565,9152
1566,9243
1567,9334
1568,9424
1569,9515
1570,9605
1571,9695
1572,9785
1573,9875
1574,9964
1575,10053
1576,10142
1577,10231
1578,10320
1579,10409
1580,10497
1581,10585
1582,10673
1583,10761
1584,10849
1585,10936
1586,11023
1587,11110
1588,11197
1589,11284
1590,11370
1591,11456
1592,11542
1593,11628
1594,11714
1595,11799
1596,11884
1597,11969
1598,12054
1599,12138
1600,12222
1601,12307
1602,12390
1603,12474
1604,12557
1605,12640
1606,12723
1607,12806
1608,12888
1609,12970
1610,13052
1611,13134
1612,13216
1613,13297
1614,13378
1615,13459
1616,13539
1617,13619
1618,13699
1619,13779
1620,13859
1621,13938
1622,14017
1623,14096
1624,14174
1625,14252
1626,14330
1627,14408
1628,14485
1629,14562
1630,14639
1631,14716
1632,14792
1633,14868
1634,14944
1635,15020
1636,15095
1637,15170
1638,15245
1639,15319
1640,15393
1641,15467
1642,15541
1643,15614
1644,15687
1645,15760
1646,15832
1647,15905
1648,15976
1649,16048
1650,16119
1651,16190
1652,16261
1653,16331
1654,16402
1655,16471
1656,16541
1657,16610
1658,16679
1659,16748
1660,16816
1661,16884
1662,16952
1663,17019
1664,17086
1665,17153
1666,17219
1667,17285
1668,17351
1669,17416
1670,17482
1671,17546
1672,17611
1673,17675
1674,17739
1675,17803
1676,17866
1677,17929
1678,17991
1679,18054
1680,18115
1681,18177
1682,18238
1683,18299
1684,18360
1685,18420
1686,18480
1687,18540
1688,18599
1689,18658
1690,18716
1691,18774
1692,18832
1693,18890
1694,18947
1695,19004
1696,19060
1697,19116
1698,19172
1699,19228
1700,19283
1701,19338
1702,19392
1703,19446
1704,19500
1705,19553
1706,19606
1707,19658
1708,19711
1709,19763
1710,19814
1711,19865
1712,19916
1713,19967
1714,20017
1715,20066
1716,20116
1717,20165
1718,20213
1719,20261
1720,20309
1721,20357
1722,20404
1723,20451
1724,20497
1725,20543
1726,20589
1727,20634
1728,20679
1729,20723
1730,20767
1731,20811
1732,20854
1733,20897
1734,20940
1735,20982
1736,21024
1737,21065
1738,21107
1739,21147
1740,21187
1741,21227
1742,21267
1743,21306
1744,21345
1745,21383
1746,21421
1747,21459
1748,21496
1749,21532
1750,21569
1751,21605
1752,21640
1753,21676
1754,21710
1755,21745
1756,21779
1757,21812
1758,21846
1759,21878
1760,21911
1761,21943
1762,21975
1763,22006
1764,22037
1765,22067
1766,22097
1767,22127
1768,22156
1769,22184
1770,22213
1771,22241
1772,22268
1773,22296
1774,22322
1775,22349
1776,22375
1777,22400
1778,22425
1779,22450
1780,22474
1781,22498
1782,22522
1783,22545
1784,22567
1785,22590
1786,22611
1787,22633
1788,22654
1789,22674
1790,22695
1791,22714
1792,22734
1793,22753
1794,22771
1795,22789
1796,22807
1797,22824
1798,22841
1799,22858
1800,22874
1801,22889
1802,22904
1803,22919
1804,22933
1805,22947
1806,22961
1807,22974
1808,22987
1809,22999
1810,23011
1811,23022
1812,23033
1813,23044
1814,23054
1815,23063
1816,23073
1817,23082
1818,23090
1819,23098
1820,23106
1821,23113
1822,23120
1823,23126
1824,23132
1825,23138
1826,23143
1827,23147
1828,23151
1829,23155
1830,23159
1831,23162
1832,23164
1833,23166
1834,23168
1835,23169
1836,23170
1837,23171
1838,23171
1839,23170
1840,23169
1841,23168
1842,23166
1843,23164
1844,23162
1845,23159
1846,23155
1847,23151
1848,23147
1849,23143
1850,23138
1851,23132
1852,23126
1853,23120
1854,23113
1855,23106
1856,23098
1857,23090
1858,23082
1859,23073
1860,23063
1861,23054
1862,23044
1863,23033
1864,23022
1865,23011
1866,22999
1867,22987
1868,22974
1869,22961
1870,22947
1871,22933
1872,22919
1873,22904
1874,22889
1875,22874
1876,22858
